query	pmid	title	journal	pubdate
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	28120228	A brief measure of reactance to health warnings.	Journal of behavioral medicine	2017
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	28024860	How hearing about harmful chemicals affects smokers' interest in dual use of cigarettes and e-cigarettes.	Preventive medicine	2017
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	27924009	Public understanding of cigarette smoke constituents: three US surveys.	Tobacco control	2016
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	27663553	Communicating about cigarette smoke constituents: an experimental comparison of two messaging strategies.	Journal of behavioral medicine	2017
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	27633762	Adolescents' interest in trying flavoured e-cigarettes.	Tobacco control	2016
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	27423739	The impact of strengthening cigarette pack warnings: Systematic review of longitudinal observational studies.	Social science & medicine (1982)	2016
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	27333921	Understanding how perceptions of tobacco constituents and the FDA relate to effective and credible tobacco risk messaging: A national phone survey of U.S. adults, 2014-2015.	BMC public health	2016
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	27333895	Reactance to Health Warnings Scale: Development and Validation.	Annals of behavioral medicine : a publication of the Society of Behavioral Medicine	2016
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	27273839	Effect of Pictorial Cigarette Pack Warnings on Changes in Smoking Behavior: A Randomized Clinical Trial.	JAMA internal medicine	2016
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	26681775	""My First Thought was Croutons"": Perceptions of Cigarettes and Cigarette Smoke Constituents Among Adult Smokers and Nonsmokers.	Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco	2016
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	26677211	Summer Peaks in Uptake of Human Papillomavirus and Other Adolescent Vaccines in the United States.	Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology	2016
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	26506363	Social Interactions Sparked by Pictorial Warnings on Cigarette Packs.	International journal of environmental research and public health	2015
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	25948713	Pictorial cigarette pack warnings: a meta-analysis of experimental studies.	Tobacco control	2016
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	25564282	Testing warning messages on smokers' cigarette packages: a standardised protocol.	Tobacco control	2016
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	25348584	How risky is it to use e-cigarettes? Smokers' beliefs about their health risks from using novel and traditional tobacco products.	Journal of behavioral medicine	2015
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	25286168	Reasons for starting and stopping electronic cigarette use.	International journal of environmental research and public health	2014
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	24935896	Effects of advertisements on smokers' interest in trying e-cigarettes: the roles of product comparison and visual cues.	Tobacco control	2014
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	24755397	How U.S. adults find out about electronic cigarettes: implications for public health messages.	Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco	2014
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	24151139	Smokers' and nonsmokers' beliefs about harmful tobacco constituents: implications for FDA communication efforts.	Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco	2014
(Deng Yehao [AUTH] University of North Carolina [AFFL] OR Deng Y [AUTH] University of North Carolina [AFFL]) AND (Wang Qi [AUTH] University of North Carolina [AFFL] OR Wang Q [AUTH] University of North Carolina [AFFL])	31822670	Efficient sky-blue perovskite light-emitting diodes via photoluminescence enhancement.	Nature communications	2019
(Deng Yehao [AUTH] University of North Carolina [AFFL] OR Deng Y [AUTH] University of North Carolina [AFFL]) AND (Wang Qi [AUTH] University of North Carolina [AFFL] OR Wang Q [AUTH] University of North Carolina [AFFL])	30873433	Bilateral alkylamine for suppressing charge recombination and improving stability in blade-coated perovskite solar cells.	Science advances	2019
(Deng Yehao [AUTH] University of North Carolina [AFFL] OR Deng Y [AUTH] University of North Carolina [AFFL]) AND (Wang Qi [AUTH] University of North Carolina [AFFL] OR Wang Q [AUTH] University of North Carolina [AFFL])	30370954	Dual Functions of Crystallization Control and Defect Passivation Enabled by Sulfonic Zwitterions for Stable and Efficient Perovskite Solar Cells.	Advanced materials (Deerfield Beach, Fla.)	2018
(Deng Yehao [AUTH] University of North Carolina [AFFL] OR Deng Y [AUTH] University of North Carolina [AFFL]) AND (Wang Qi [AUTH] University of North Carolina [AFFL] OR Wang Q [AUTH] University of North Carolina [AFFL])	29691390	Molecular doping enabled scalable blading of efficient hole-transport-layer-free perovskite solar cells.	Nature communications	2018
(Deng Yehao [AUTH] University of North Carolina [AFFL] OR Deng Y [AUTH] University of North Carolina [AFFL]) AND (Wang Qi [AUTH] University of North Carolina [AFFL] OR Wang Q [AUTH] University of North Carolina [AFFL])	29192232	Thin single crystal perovskite solar cells to harvest below-bandgap light absorption.	Nature communications	2017
(Deng Yehao [AUTH] University of North Carolina [AFFL] OR Deng Y [AUTH] University of North Carolina [AFFL]) AND (Wei Haotong [AUTH] University of North Carolina [AFFL] OR Wei H [AUTH] University of North Carolina [AFFL])	31582749	Enhancing electron diffusion length in narrow-bandgap perovskites for efficient monolithic perovskite tandem solar cells.	Nature communications	2019
(Deng Yehao [AUTH] University of North Carolina [AFFL] OR Deng Y [AUTH] University of North Carolina [AFFL]) AND (Wei Haotong [AUTH] University of North Carolina [AFFL] OR Wei H [AUTH] University of North Carolina [AFFL])	30873433	Bilateral alkylamine for suppressing charge recombination and improving stability in blade-coated perovskite solar cells.	Science advances	2019
(Deng Yehao [AUTH] University of North Carolina [AFFL] OR Deng Y [AUTH] University of North Carolina [AFFL]) AND (Wei Haotong [AUTH] University of North Carolina [AFFL] OR Wei H [AUTH] University of North Carolina [AFFL])	30370954	Dual Functions of Crystallization Control and Defect Passivation Enabled by Sulfonic Zwitterions for Stable and Efficient Perovskite Solar Cells.	Advanced materials (Deerfield Beach, Fla.)	2018
(Deng Yehao [AUTH] University of North Carolina [AFFL] OR Deng Y [AUTH] University of North Carolina [AFFL]) AND (Wei Haotong [AUTH] University of North Carolina [AFFL] OR Wei H [AUTH] University of North Carolina [AFFL])	29159287	Strained hybrid perovskite thin films and their impact on the intrinsic stability of perovskite solar cells.	Science advances	2017
(Deng Yehao [AUTH] University of North Carolina [AFFL] OR Deng Y [AUTH] University of North Carolina [AFFL]) AND (Wei Haotong [AUTH] University of North Carolina [AFFL] OR Wei H [AUTH] University of North Carolina [AFFL])	28846818	Low-Noise and Large-Linear-Dynamic-Range Photodetectors Based on Hybrid-Perovskite Thin-Single-Crystals.	Advanced materials (Deerfield Beach, Fla.)	2017
(Deng Yehao [AUTH] University of North Carolina [AFFL] OR Deng Y [AUTH] University of North Carolina [AFFL]) AND (Wei Haotong [AUTH] University of North Carolina [AFFL] OR Wei H [AUTH] University of North Carolina [AFFL])	28671663	Dopant compensation in alloyed CH3NH3PbBr3-xClx perovskite single crystals for gamma-ray spectroscopy.	Nature materials	2017
(Dotti Gianpietro [AUTH] University of North Carolina [AFFL] OR Dotti G [AUTH] University of North Carolina [AFFL]) AND (Huang Leaf [AUTH] University of North Carolina [AFFL] OR Huang L [AUTH] University of North Carolina [AFFL])	29127106	A melanin-mediated cancer immunotherapy patch.	Science immunology	2017
(Dotti Gianpietro [AUTH] University of North Carolina [AFFL] OR Dotti G [AUTH] University of North Carolina [AFFL]) AND (Savoldo Barbara [AUTH] University of North Carolina [AFFL] OR Savoldo B [AUTH] University of North Carolina [AFFL])	36081760	Inadvertent Transfer of Murine VL30 Retrotransposons to CAR-T Cells.	Advances in cell and gene therapy	2022
(Dotti Gianpietro [AUTH] University of North Carolina [AFFL] OR Dotti G [AUTH] University of North Carolina [AFFL]) AND (Savoldo Barbara [AUTH] University of North Carolina [AFFL] OR Savoldo B [AUTH] University of North Carolina [AFFL])	35443752	Targeting brain lesions of non-small cell lung cancer by enhancing CCL2-mediated CAR-T cell migration.	Nature communications	2022
(Dotti Gianpietro [AUTH] University of North Carolina [AFFL] OR Dotti G [AUTH] University of North Carolina [AFFL]) AND (Savoldo Barbara [AUTH] University of North Carolina [AFFL] OR Savoldo B [AUTH] University of North Carolina [AFFL])	35022195	Targeting disialoganglioside GD2 with chimeric antigen receptor-redirected T cells in lung cancer.	Journal for immunotherapy of cancer	2022
(Dotti Gianpietro [AUTH] University of North Carolina [AFFL] OR Dotti G [AUTH] University of North Carolina [AFFL]) AND (Savoldo Barbara [AUTH] University of North Carolina [AFFL] OR Savoldo B [AUTH] University of North Carolina [AFFL])	34746799	Dual Targeting CAR-T Cells with Optimal Costimulation and Metabolic Fitness enhance Antitumor Activity and Prevent Escape in Solid Tumors.	Nature cancer	2021
(Dotti Gianpietro [AUTH] University of North Carolina [AFFL] OR Dotti G [AUTH] University of North Carolina [AFFL]) AND (Savoldo Barbara [AUTH] University of North Carolina [AFFL] OR Savoldo B [AUTH] University of North Carolina [AFFL])	34666347	Pretherapy metabolic tumor volume is associated with response to CD30 CAR T cells in Hodgkin lymphoma.	Blood advances	2022
(Dotti Gianpietro [AUTH] University of North Carolina [AFFL] OR Dotti G [AUTH] University of North Carolina [AFFL]) AND (Savoldo Barbara [AUTH] University of North Carolina [AFFL] OR Savoldo B [AUTH] University of North Carolina [AFFL])	34613775	Fibrin gel enhances the antitumor effects of chimeric antigen receptor T cells in glioblastoma.	Science advances	2021
(Dotti Gianpietro [AUTH] University of North Carolina [AFFL] OR Dotti G [AUTH] University of North Carolina [AFFL]) AND (Savoldo Barbara [AUTH] University of North Carolina [AFFL] OR Savoldo B [AUTH] University of North Carolina [AFFL])	33898999	GD2-specific CAR T cells encapsulated in an injectable hydrogel control retinoblastoma and preserve vision.	Nature cancer	2020
(Dotti Gianpietro [AUTH] University of North Carolina [AFFL] OR Dotti G [AUTH] University of North Carolina [AFFL]) AND (Savoldo Barbara [AUTH] University of North Carolina [AFFL] OR Savoldo B [AUTH] University of North Carolina [AFFL])	33858858	CAR T cells Targeting Human Immunoglobulin Light Chains Eradicate Mature B-cell Malignancies While Sparing a Subset of Normal B Cells.	Clinical cancer research : an official journal of the American Association for Cancer Research	2021
(Dotti Gianpietro [AUTH] University of North Carolina [AFFL] OR Dotti G [AUTH] University of North Carolina [AFFL]) AND (Savoldo Barbara [AUTH] University of North Carolina [AFFL] OR Savoldo B [AUTH] University of North Carolina [AFFL])	33624095	Utility of a safety switch to abrogate CD19.CAR T-cell-associated neurotoxicity.	Blood	2021
(Dotti Gianpietro [AUTH] University of North Carolina [AFFL] OR Dotti G [AUTH] University of North Carolina [AFFL]) AND (Savoldo Barbara [AUTH] University of North Carolina [AFFL] OR Savoldo B [AUTH] University of North Carolina [AFFL])	33547226	Modifications to the Framework Regions Eliminate Chimeric Antigen Receptor Tonic Signaling.	Cancer immunology research	2021
(Dotti Gianpietro [AUTH] University of North Carolina [AFFL] OR Dotti G [AUTH] University of North Carolina [AFFL]) AND (Savoldo Barbara [AUTH] University of North Carolina [AFFL] OR Savoldo B [AUTH] University of North Carolina [AFFL])	33531429	Preclinical Evaluation of B7-H3-specific Chimeric Antigen Receptor T Cells for the Treatment of Acute Myeloid Leukemia.	Clinical cancer research : an official journal of the American Association for Cancer Research	2021
(Dotti Gianpietro [AUTH] University of North Carolina [AFFL] OR Dotti G [AUTH] University of North Carolina [AFFL]) AND (Savoldo Barbara [AUTH] University of North Carolina [AFFL] OR Savoldo B [AUTH] University of North Carolina [AFFL])	33434072	Extending the Promise of Chimeric Antigen Receptor T-Cell Therapy Beyond Targeting CD19+ Tumors.	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	2021
(Dotti Gianpietro [AUTH] University of North Carolina [AFFL] OR Dotti G [AUTH] University of North Carolina [AFFL]) AND (Savoldo Barbara [AUTH] University of North Carolina [AFFL] OR Savoldo B [AUTH] University of North Carolina [AFFL])	33259598	Long-term remission in multiply relapsed enteropathy-associated T-cell lymphoma following CD30 CAR T-cell therapy.	Blood advances	2020
(Dotti Gianpietro [AUTH] University of North Carolina [AFFL] OR Dotti G [AUTH] University of North Carolina [AFFL]) AND (Savoldo Barbara [AUTH] University of North Carolina [AFFL] OR Savoldo B [AUTH] University of North Carolina [AFFL])	33046868	Anti-GD2 CAR-NKT cells in patients with relapsed or refractory neuroblastoma: an interim analysis.	Nature medicine	2020
(Dotti Gianpietro [AUTH] University of North Carolina [AFFL] OR Dotti G [AUTH] University of North Carolina [AFFL]) AND (Savoldo Barbara [AUTH] University of North Carolina [AFFL] OR Savoldo B [AUTH] University of North Carolina [AFFL])	32701411	Anti-CD30 CAR-T Cell Therapy in Relapsed and Refractory Hodgkin Lymphoma.	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	2020
(Dotti Gianpietro [AUTH] University of North Carolina [AFFL] OR Dotti G [AUTH] University of North Carolina [AFFL]) AND (Savoldo Barbara [AUTH] University of North Carolina [AFFL] OR Savoldo B [AUTH] University of North Carolina [AFFL])	32015548	Interleukin-23 engineering improves CAR T cell function in solid tumors.	Nature biotechnology	2020
(Dotti Gianpietro [AUTH] University of North Carolina [AFFL] OR Dotti G [AUTH] University of North Carolina [AFFL]) AND (Savoldo Barbara [AUTH] University of North Carolina [AFFL] OR Savoldo B [AUTH] University of North Carolina [AFFL])	32015021	Enhancing Chimeric Antigen Receptor T-Cell Efficacy in Solid Tumors.	Clinical cancer research : an official journal of the American Association for Cancer Research	2020
(Dotti Gianpietro [AUTH] University of North Carolina [AFFL] OR Dotti G [AUTH] University of North Carolina [AFFL]) AND (Savoldo Barbara [AUTH] University of North Carolina [AFFL] OR Savoldo B [AUTH] University of North Carolina [AFFL])	32004441	THEMIS-SHP1 Recruitment by 4-1BB Tunes LCK-Mediated Priming of Chimeric Antigen Receptor-Redirected T Cells.	Cancer cell	2020
(Dotti Gianpietro [AUTH] University of North Carolina [AFFL] OR Dotti G [AUTH] University of North Carolina [AFFL]) AND (Savoldo Barbara [AUTH] University of North Carolina [AFFL] OR Savoldo B [AUTH] University of North Carolina [AFFL])	31719055	A High-Avidity T-cell Receptor Redirects Natural Killer T-cell Specificity and Outcompetes the Endogenous Invariant T-cell Receptor.	Cancer immunology research	2020
(Dotti Gianpietro [AUTH] University of North Carolina [AFFL] OR Dotti G [AUTH] University of North Carolina [AFFL]) AND (Savoldo Barbara [AUTH] University of North Carolina [AFFL] OR Savoldo B [AUTH] University of North Carolina [AFFL])	31484667	NKT Cells Coexpressing a GD2-Specific Chimeric Antigen Receptor and IL15 Show Enhanced In Vivo Persistence and Antitumor Activity against Neuroblastoma.	Clinical cancer research : an official journal of the American Association for Cancer Research	2019
(Dotti Gianpietro [AUTH] University of North Carolina [AFFL] OR Dotti G [AUTH] University of North Carolina [AFFL]) AND (Savoldo Barbara [AUTH] University of North Carolina [AFFL] OR Savoldo B [AUTH] University of North Carolina [AFFL])	31479522	In vitro elimination of epidermal growth factor receptor-overexpressing cancer cells by CD32A-chimeric receptor T cells in combination with cetuximab or panitumumab.	International journal of cancer	2020
(Dotti Gianpietro [AUTH] University of North Carolina [AFFL] OR Dotti G [AUTH] University of North Carolina [AFFL]) AND (Savoldo Barbara [AUTH] University of North Carolina [AFFL] OR Savoldo B [AUTH] University of North Carolina [AFFL])	31466914	B7-H3-redirected chimeric antigen receptor T cells target glioblastoma and neurospheres.	EBioMedicine	2019
(Dotti Gianpietro [AUTH] University of North Carolina [AFFL] OR Dotti G [AUTH] University of North Carolina [AFFL]) AND (Savoldo Barbara [AUTH] University of North Carolina [AFFL] OR Savoldo B [AUTH] University of North Carolina [AFFL])	31040928	Safety and efficacy of targeting CD138 with a chimeric antigen receptor for the treatment of multiple myeloma.	Oncotarget	2019
(Dotti Gianpietro [AUTH] University of North Carolina [AFFL] OR Dotti G [AUTH] University of North Carolina [AFFL]) AND (Savoldo Barbara [AUTH] University of North Carolina [AFFL] OR Savoldo B [AUTH] University of North Carolina [AFFL])	30842091	Cancer Immunotherapy with T Cells Carrying Bispecific Receptors That Mimic Antibodies.	Cancer immunology research	2019
